Qty,Value,Device,Package,Parts,Description,MPN,PROD_ID
2,,LEDSML0805,SML0805,"LED1, LED2",LED,,
1,,PINHD-1X8,1X08,JP2,PIN HEADER,,
1,,PINHD-1X9,1X09,JP1,PIN HEADER,,
4,,SMD-SWITCH-TACTILE-SPST-NO(4P-D6.0MM),SW4-SMD-6.0X6.0X5.0MM,"K1, K2, K3, K4",6x6 MM Tactile switch,DTSM-62K-S-V-T/R(SN431),
1,,USB_MICRO-B_FEMALE-SMT,USB-B-MICRO-SMD,J1,USB Type Micro-B Connector,,CONN-11752
2,100nF,C-EUC0805,C0805,"C6, C10","CAPACITOR, European symbol",,
2,100uF,C-EUC1206,C1206,"C8, C9","CAPACITOR, European symbol",,
4,10K,R-US_R0805,R0805,"R5, R6, R7, R8","RESISTOR, American symbol",,
2,10nF,C-EUC0805,C0805,"C3, C4","CAPACITOR, European symbol",,
2,10uF,C-EUC0805,C0805,"C5, C7","CAPACITOR, European symbol",,
1,128X64_I2C,OLED_128X64_I2C 0.96”,128X64_I2C,OLED,128x64 0.96” I2C OLED Screen,,
1,12MHZ,CRYSTALSMD-HC49UP,HC49UP,XTAL1,Crystals (Generic),,
2,220R,R-US_M0805,M0805,"R3, R4","RESISTOR, American symbol",,
2,22p,C-EUC0805,C0805,"C1, C2","CAPACITOR, European symbol",,
3,3.3V,ZENER-DIODESOD80C,SOD80C,"D1, D2, D3",Z-Diode,,
2,470R,R-US_R0805,R0805,"R1, R2","RESISTOR, American symbol",,
2,5K6,R-US_R0805,R0805,"R9, R10","RESISTOR, American symbol",,
1,CH340G,CH340G,SOIC16,U$2,USB to UART,,
1,ESP-12F,ESP-12,ESP-12,X2,,,
1,LM1117IMPX-3.3,AMS1117-3.3V,SOT223,IC1,Linear voltage regulator,,
